word_count,char_count,sly_count,level
1,2,1,1
4,17,5,1
1,1,1,1
2,7,3,1
11,75,23,2
12,81,24,2
1,1,1,1
2,7,3,1
8,50,15,1
1,4,1,1
2,7,2,1
4,28,10,2
1,2,1,1
4,17,5,1
1,1,1,1
2,7,3,1
11,75,23,2
12,81,24,2
1,1,1,1
2,7,3,1
8,50,15,1
1,4,1,1
2,7,2,1
4,28,10,2
1,2,1,1
4,17,5,1
1,1,1,1
2,7,3,1
11,75,23,2
22,189,56,2
1,1,1,1
4,29,9,2
9,60,20,2
1,1,1,1
4,29,9,2
9,58,19,2
1,1,1,1
2,9,4,1
1,1,1,1
6,46,15,2
6,30,9,1
2,3,2,1
3,7,3,1
1,5,1,1
2,6,2,1
1,1,1,1
2,9,4,1
1,1,1,1
6,46,15,2
6,30,9,1
2,3,2,1
3,7,3,1
1,5,1,1
1,7,2,1
1,6,1,1
1,10,2,1
4,30,11,2
1,2,1,1
2,3,2,1
4,22,6,1
2,14,3,1
1,6,1,1
1,10,2,1
4,30,11,2
1,2,1,1
2,3,2,1
4,22,6,1
3,12,3,1
1,1,1,1
2,11,4,1
1,1,1,1
1,4,1,1
5,33,9,1
1,8,1,1
1,5,1,1
2,15,2,1
1,1,1,1
2,6,3,1
1,1,1,1
2,11,4,1
1,1,1,1
1,4,1,1
6,40,11,1
2,7,3,1
1,1,1,1
2,11,3,1
1,1,1,1
2,7,3,1
1,1,1,1
2,5,2,1
1,1,1,1
7,53,16,2
1,1,1,1
1,4,1,1
1,4,1,1
1,3,1,1
4,17,5,1
2,7,3,1
1,1,1,1
2,11,3,1
1,1,1,1
2,7,3,1
1,1,1,1
2,5,2,1
1,1,1,1
7,53,16,2
1,1,1,1
1,4,1,1
1,4,1,1
1,3,1,1
4,17,5,1
2,7,2,1
2,8,3,1
2,3,2,1
1,1,1,1
2,9,4,1
1,1,1,1
9,80,26,2
1,1,1,1
1,4,1,1
2,5,2,1
1,4,1,1
3,12,3,1
5,28,9,1
3,15,5,1
3,8,3,1
5,38,9,1
4,28,8,1
4,21,9,2
9,45,14,1
1,4,1,1
2,12,4,1
4,19,6,1
4,28,6,1
11,91,29,2
7,28,10,1
14,101,29,2
16,154,50,3
10,78,21,2
4,40,12,2
9,64,19,2
3,27,9,2
1,4,1,1
10,62,18,1
17,90,29,1
4,22,7,1
17,90,29,1
4,22,7,1
17,90,29,1
4,22,7,1
10,55,19,1
7,70,22,3
1,30,1,1
1,1,1,1
10,65,19,1
1,1,1,1
4,25,7,1
6,41,12,1
1,4,1,1
4,36,9,2
5,34,11,2
1,4,1,1
4,36,9,2
3,21,4,1
7,60,14,1
3,15,4,1
11,79,26,2
7,42,14,1
3,15,4,1
11,79,26,2
7,42,14,1
3,15,4,1
11,79,26,2
10,72,20,2
3,12,3,1
3,13,4,1
3,14,5,1
1,4,1,1
4,34,10,2
8,46,12,1
3,12,3,1
3,13,4,1
3,14,5,1
1,4,1,1
4,34,10,2
11,98,34,3
9,72,22,2
7,57,18,2
1,1,1,1
4,33,10,2
1,6,1,1
12,95,28,2
24,218,61,2
7,59,13,1
11,94,17,1
5,36,5,1
8,49,13,1
1,1,1,1
2,8,3,1
9,60,19,2
1,8,1,1
8,49,13,1
1,1,1,1
2,8,3,1
9,60,19,2
5,30,10,1
18,128,40,2
4,27,9,2
6,28,10,1
4,27,9,2
14,105,32,2
4,20,6,1
5,30,9,1
4,20,6,1
1,1,1,1
1,1,1,1
2,6,3,1
1,1,1,1
7,49,14,1
1,4,1,1
1,3,1,1
5,30,9,1
1,8,1,1
1,1,1,1
2,6,3,1
1,1,1,1
7,49,14,1
1,4,1,1
1,3,1,1
5,30,9,1
1,8,1,1
1,1,1,1
2,7,3,1
1,1,1,1
4,18,7,1
2,21,7,3
1,1,1,1
1,2,1,1
4,19,7,1
3,12,6,1
9,39,13,1
5,22,9,1
8,40,13,1
3,12,6,1
9,39,13,1
5,22,9,1
8,40,13,1
3,12,6,1
9,39,13,1
5,22,9,1
8,40,13,1
10,95,28,2
11,74,21,1
14,72,22,1
11,74,21,1
24,130,44,2
9,104,29,3
1,30,1,1
1,1,1,1
6,49,15,2
1,7,2,1
14,60,21,1
1,7,2,1
3,17,5,1
4,22,6,1
4,18,5,1
5,23,8,1
4,40,11,2
3,22,7,2
5,33,9,1
11,58,17,1
16,130,37,2
6,50,15,2
4,27,10,2
7,92,21,2
3,22,7,2
9,53,17,1
2,7,3,1
1,1,1,1
1,4,1,1
3,28,8,2
19,150,47,2
1,1,1,1
3,18,7,2
2,8,3,1
1,1,1,1
1,2,1,1
2,6,2,1
2,9,3,1
10,74,22,2
2,5,2,1
8,52,15,1
17,123,39,2
2,9,4,1
2,8,3,1
1,1,1,1
1,2,1,1
2,6,2,1
2,9,3,1
10,74,22,2
2,5,2,1
8,52,15,1
17,123,39,2
2,9,4,1
2,8,3,1
1,1,1,1
1,2,1,1
2,6,2,1
2,9,3,1
10,74,22,2
2,5,2,1
8,52,15,1
17,123,39,2
2,9,4,1
2,8,3,1
1,1,1,1
1,2,1,1
2,6,2,1
2,9,3,1
2,12,4,1
5,42,12,2
4,39,15,3
1,30,1,1
1,1,1,1
4,29,9,2
3,29,8,2
4,26,9,2
3,29,8,2
15,85,27,1
8,74,23,2
13,59,19,1
8,74,23,2
6,53,18,2
1,1,1,1
5,24,9,1
4,18,7,1
9,44,15,1
1,4,1,1
3,12,6,1
1,1,1,1
5,24,9,1
4,18,7,1
9,44,15,1
1,4,1,1
3,12,6,1
1,1,1,1
5,24,9,1
4,18,7,1
9,44,15,1
1,4,1,1
19,164,48,2
1,1,1,1
14,97,29,2
1,1,1,1
11,98,28,2
7,51,14,1
1,1,1,1
2,8,3,1
2,6,2,1
2,4,2,1
2,8,3,1
1,1,1,1
1,4,1,1
6,42,12,1
2,24,6,2
2,31,4,1
1,1,1,1
2,8,4,1
4,15,5,1
2,3,2,1
2,10,4,1
2,8,3,1
1,4,1,1
10,66,18,1
8,60,18,2
2,10,4,1
1,1,1,1
2,8,4,1
4,15,5,1
2,3,2,1
2,10,4,1
2,8,3,1
1,4,1,1
10,66,18,1
8,60,18,2
2,10,4,1
1,1,1,1
2,8,4,1
4,15,5,1
2,3,2,1
2,10,4,1
2,8,3,1
1,4,1,1
10,66,18,1
8,60,18,2
4,31,10,2
1,1,1,1
